Ce2O3,cerium oxide
CEL,celadonite
CEL-NON,celadonite-nontronite
CEL-NON-SAP,celadonite-nontranite-saponite
CELS,celsian
CH4,methane
CHL/SMEC,chlorite/smectite
CHLOR,chlorite
CHLORINITY,chlorinity
CHLORITE,chlorite
CHLOR-SAP,chlorite-saponite
CHRG_BAL,"electrical charge balance, calculated as the sum of cations vs. anions"
CHROM,chromite
CHRYS,chrysotile
Cl,chlorine
CLAY,clay
CLS,celestine
CLY,clay mineral
CMG,cummingtonite
Co,cobalt
CO1,carbon monoxide
CO2,carbon dioxide
CO2_umol,carbon dioxide measured in micromols
CoO,cobalt oxide
COR,corundum
CORD,cordierite
CORR,corrensite
CPX,clinopyroxene
CPY,chalcopyrite
Cr,chromium
Cr2O3,chromium oxide
CRICH,crichtonite
CRIS,cristobalite
Cs,cesium
Cs137_ACTIVITY,cesium isotope cs137 reported as activity
CSO,"casio3, high pressure"
CST,coesite
CTD,chloritoid
CTI,calcium titanium tschermak molecule
Cu,copper
Cu2O,copper(i) oxide
CUB,cubanite
CuO,copper oxide
DELTA_B11,"equals: (ratio of boron isotopes b11/b10 in the sample divided by ratio of b11/b10 in reference material srm951)  minus 1, multiplied by 1000"
DELTA_C13,"equals: (ratio of carbon isotopes c13/c12 in the sample divided by ratio of c13/c12 of the pee dee belemnite) minus 1, multiplied by 1000"
DELTA_Ca44,"equals :(ratio of 44ca to 40ca sample) divided by (ratio of 44ca std to 40ca std) minus 1,  multplied by 1000"
DELTA_Cl37,"equals: (ratio of chlorine isotopes cl37/cl35 in the sample divided by ratio of cl37/cl35 of the standard mean ocean chlorine) minus 1, multiplied by 1000"
DELTA_D,"equals: (ratio of hydrogen isotopes h2/h1 in the sample divided by ratio of h2/h1 in reference material ) minus 1, multiplied by 1000"
DELTA_Fe56,"equals: (ratio of iron isotopes fe56/fe54 in the sample divided by ratio of fe56/fe54 of irmm-014) minus 1, multiplied by 1000"
DELTA_Fe57,"equals: (ratio of iron isotopes fe57/fe54 in the sample divided by ratio of fe57/fe54 of irmm-014) minus 1, multiplied by 1000"
DELTA_Li6,"equals: (ratio of lithium isotopes li6/li7 in the sample divided by ratio of li6/li7 of the standard) minus 1, multiplied by 1000"
DELTA_Li7,"equals: (ratio of lithium isotopes li7/li6 in the sample divided by ratio of li7/li6 of the standard) minus 1, multiplied by 1000"
DELTA_Mg25,"equals: (ratio of magnesium isotopes mg25/mg24 in the sample divided by ratio of mg25/mg24 in the reference material) minus 1, multiplied by 1000"
DELTA_Mg26,"equals: (ratio of magnesium isotopes mg26/mg24 in the sample divided by ratio of mg26/mg24 in the reference material) minus 1, multiplied by 1000"
DELTA_N15,"equals: (ratio of nitrogen isotopes n15/n14 in the sample divided by ratio of n15/n14 in the reference material) minus 1, multiplied by 1000"
DELTA_O18,"equals: (ratio of oxygen isotopes o18/o16 in the sample divided by ratio of o18/o16 of the standard) minus 1, multiplied by 1000"
DELTA_S33,"equals: (ratio of sulfur isotopes s33/s32 in the sample divided by ratio of s33/s32 in the reference material) minus 1, multiplied by 1000"
DELTA_S34,"equals: (ratio of sulphur isotopes s34/s32 in the sample divided by ratio of s34/s32 in reference material ) minus 1, multiplied by 1000"
DELTA_S34SO4,"sulfur isotope of  the sulfate.  equals: (ratio of sulphur isotopes s34/s32 in the sample divided by ratio of s34/s32 in reference material ) minus 1, multiplied by 1000"
DELTA_U234,"equals: (ratio of uranium isotopes u234/u238 in the sample divided by ratio of u234/u238 in the secular equilibrium) minus 1, multiplied by 1000"
DELTA_Zn66,"equals :(ratio of 66zn to 64zn sample) divided by (ratio of 66zn std to 64zn std) minus 1, multplied by 1000"
DI,diopside
DIA,diamond
DIC,dissolved inorganic carbon
DOL,dolomite
Dy,dysprosium
Dy2O3,dysprosium oxide
E_Cd,epsilon 114/110cadmium
E_Ce,epsilon ce = [(138ce/142ce)sample/(138ce/142ce)chur - 1]x10e4
E_Hf,epsilon hf = [(176hf/177hf)sample/(176hf/177hf)chur - 1]x10e4
E_Hf(T),"epsilon hf = [(176hf/177hf)sample/(176hf/177hf)chur - 1]x10e4, time corrected"
E_Nd,epsilon nd = [(nd143/nd144)sample/(nd143/nd144)reference - 1]x10e4
E_Nd(JUV),"epsilon nd(juv) = [(nd143/nd144)sample/(nd143/nd144)juv - 1]x10e4, where juv is juvinas achondrite"
E_Nd(T),"epsilon nd = [(nd143/nd144)sample/(nd143/nd144)reference - 1]x10e4, time corrected"
E_Sr,epsilon sr= [(sr87/sr86)sample/(sr87/sr86)reference - 1]x10e4
E_Sr(T),"epsilon sr= [(sr87/sr86)sample/(sr87/sr86)reference - 1]x10e4, time corrected"
E_Tl205,epsilon thallium isotope 205
EDE,edenite
ED-HORN,edenitic hornblende
EN,enstatite
EP,epidote
Er,erbium
Eu,europium
F,fluorine
FA,fayalite
Fe,iron
Fe2O3,ferric iron oxide (tri-valent iron)
Fe2O3T,total iron oxide content reported as ferric (tri-valent) iron
Fe3_SUMFe,ratio of fe3+ to total fe
Fe3O4,
Fe3P_FeT,feric iron total iron ratio
FeCO3,siderite
Fe-Fe,iron ferrite = fefe2o4
FeO,ferrous iron oxide (di-valent)
FE-ORE,iron ore
FeOT,total iron oxide content reported as ferrous (di-valent) iron
FE-OX,fe-oxide
FeS2,iron sulfide
FETI-OX,iron titanium oxide
FO,forsterite
FORMATE,formate
FPER,ferropericlase
FS,ferrosilite
FSP,feldspar
G_Os,gamma osmium
G_Os(T),"gamma osmium, time corrected"
Ga,gallium
GAL,galaxite = mnal2o4
GAR,garnet
Gd,gadolinium
Gd2O3,gadolinium oxide
Ge,germanium
GKL,geikilite
GL,glass
GM,groundmass
GM-GL,glassy groundmass
GOLD,gold
GONN,gonnardite
GPH,graphite
GRAPH,graphite
GROS,grossular
H,hydrogen
H(TOT),total hydrogen
H2,hydrogen
H2O,water
H2OM,crystal water (h2o-)
H2OP,crystal water (h2o+)
H2S,hydrogen sulfide
H2S(TOT),total sulfide
H4SiO4,silicic acid
HALITE,halite
HAUS,hausmannite
HAUY,hauyne
HCO3,bicarbonate
HCY,hercynite
He,helium
He3,helium isotope he3
He3_He4,ratio of helium isotopes he3 to he4
He3_He4(R/Ra),ratio of helium isotopes he3 to he4 expressed relative to the helium isotope ratio of the atmosphere
He4,helium isotope he4
He4(NCC),helium isotope he4 measured by neutron coincidence counting
He4_Ar40,ratio of helium isotope he4 to argon isotope ar40
He4_He3,ratio of helium isotopes he4 to he3
He4_Ne20,ratio of helium isotope he4 to neon isotope ne20
He4_Ne21,ratio of helium isotope he4 to neon isotope ne21
HEDN,hedenbergite
HEM,hematite
HERC,hercynite
HEU,heulandite
Hf,hafnium
Hf176_Hf177,ratio of hafnium isotopes hf176 to hf177
Hf176_Hf177(I),ratio of hafnium isotopes hf176 to hf177 at initial time
Hf176_Hf177(T),"ratio of hafnium isotopes hf176 to hf177, time corrected"
Hf177_Hf178,ratio of hafnium isotopes hf177 to hf178
Hf178_Hf177,ratio of hafnium isotopes hf178 to hf177
Hf179_Hf177,ratio of hafnium isotopes hf179 to hf177
Hf180_Hf177,ratio of hafnium isotopes hf180 to hf177
HfO2,hafnium oxide
Hg,mercury
HGAR,hydrogarnet
Ho,holmium
HORN,hornblende
HSCHL,hydroschorlomite
HYGR,hydrogrossular
I,iodine
IDD,iddingsite
ILL,illite
ILM,ilmenite
In,indium
INT,interstitial
IO,included in olivine
Ir,iridium
JAC,jacobsite
JD,jadeite
K,potassium
K2O,potassium oxide
KAER,kaersutite
KAOLINITE,kaolinite
KELY,kelyphite
KF,potassium feldspar
Kr,krypton
Kr78,krypton isotope kr78
Kr78_Kr84,ratio of krypton isotopes kr78 to kr84
Kr80,krypton isotope kr80
Kr80_Kr84,ratio of krypton isotopes kr80 to kr84
Kr82,krypton isotope kr82
Kr82_Kr84,ratio of krypton isotopes kr82 to kr84
Kr83,krypton isotope kr83
Kr83_Kr84,ratio of krypton isotopes kr83 to kr84
Kr84,krypton isotope kr84
Kr86,krypton isotope kr86
Kr86_Kr84,ratio of krypton isotopes kr86 to kr84
Kr90,krypton isotope kr90
KS,kalsilite
KY,kyanite
La,lanthanum
La2O3,lanthanum oxide
LAU,laumonite
LAW,lawsonite
LEU,leucite
LHER,lherzolite
Li,lithium
Li7_Li6,ratio of litium isotopes li7 toli6
LOI,loss on ignition
Lu,lutetium
Lu176_Hf177,ratio of lutetium isotope lu176 to hafnium isotope hf177
Lu176_Hf177(T),"ratio of lutetium isotope lu176 to hafnium isotope hf177, time corrected"
Lu176_Lu177,ratio of lutetium isotopes lu176 to lu177
LW,lawsonite
MAF,mafic minerals
MARC,marcasite
Mg,magnesium
Mg_Ca,ratio of magnesium to calcium
MgCO3,magnesium carbonate
MGCR,magnesiochromite
MGF,mg-ferrite
MGH,maghemite
MgO,magnesium oxide
MICA,mica
MIL,millerite
Mn,manganese
Mn_Ca,ratio of manganese to calcium
Mn3O4,manganese tetroxide
MnCO3,manganese carbonate
MNCR,manganese chromite
MnO,manganese oxide
Mn-OL,manganese olivine
MNZ,monazite
Mo,molybdenum
MONT,montmorillonite
MS,matnesite
MT,magnetite
MULL,mullite
MUS,muscovite
MYR,myrmekite
N,nitrogen
N(A),percent nitrogen in the a defect site of diamonds
N(B),percent nitrogen in the b defect site of diamonds
N(ORG),organic nitrogen
N(TOT),total nitrogen
N2,nitrogen
N2[nmol],nitrogen measured in nanomols
N2_Ar36,ratio of nitrogen isotope n2 to argon isotope ar36
N2_He3,ratio of nitrogen isotope n2 to helium isotope he3
Na,sodium
Na2O,sodium oxide
NAC,clinopyroxene end-member nacr (si2o6)
NATR,natrolite
Nb,niobium
Nb2O3,niobium oxide
Nb2O5,niobium pentoxide
NCU,native copper
Nd,neodymium
Nd_Ca,ratio of neodymium to calcium
Nd142_Nd144,ratio of neodymium isotopes nd142 to nd144
Nd143_Nd144,ratio of neodymium isotopes nd143 to nd144
Nd143_Nd144(I),ratio of neodymium isotopes nd143 to nd144 at initial age
Nd143_Nd144(T),"ratio of neodymium isotopes nd143 to nd144, time corrected"
Nd144_Nd146,ratio of neodymium isotopes nd144 to nd146
Nd145_Nd144,ratio of neodymium isotopes nd145 to nd144
Nd146_Nd142,ratio of neodymium isotopes nd146 to nd142
Nd146_Nd144,ratio of neodymium isotopes nd146 to nd144
Nd146_Nd145,ratio of neodymium isotopes nd146 to nd145
Nd148_Nd144,ratio of neodymium isotopes nd148 to nd144
Nd148O_Nd144O,ratio of neodymium nd148 oxide to neodymium nd144 oxide
Nd150_Nd144,ratio of neodymium isotopes nd150 to nd144
Nd2O3,neodymium oxide
Ne,neon
Ne20,neon isotope ne20
Ne20_Ne22,ratio of neon isotope ne20 to ne22
Ne21,neon isotope ne21
Ne21_He4,ratio of neon isotope ne21 to helium isotope he4
Ne21_Ne20,ratio of neon isotope ne21 to ne20
Ne21_Ne22,ratio of neon isotope ne21 to ne22
Ne22,neon isotope ne22
Ne22_Ne20,ratio of neon isotope ne22 to ne20
Ne23,neon isotope ne23
NH3,ammonia
NH4,ammonium
Ni,nickel
NiO,nickel oxide
NN,unknown
NO2,nitrite
NO3,nitrate
O,oxygen
O2,dioxygen
OH,hydroxide
OL,olivine
OL(R),ol(r)
OLIG,oligoclase
OLPS,olivine pseudomorph
OLXC,olivine xenocryst
OMPH,omphacite
OPAL,opal
OPAQ,opaque mineral
OPQ,opaque mineral
OPX,orthopyroxene
OR,orthoclase
ORE,ore
Os,osmium
Os(I),common osmium at initial age
Os184_Os188,ratio of osmium isotopes os184 to os188
Os186_Os188,ratio of osmium isotopes os186 to os188
Os187_Os186,ratio of osmium isotopes os187 to os186
Os187_Os188,ratio of osmium isotopes os187 to os188
Os187_Os188(I),ratio of osmium isotopes os187 to os188 at initial age
Os187_Os188(T),"ratio of osmium isotopes os187 to os188, time corrected"
Os188,osmium isotope os188
Os188_Os192,ratio of osmium isotopes os188 to os192
Os189_Os188,ratio of osmium isotopes os189 to os188
Os190_Os188,ratio of osmium isotopes os190 to os188
Os192_Os188,ratio of osmium isotopes os192 to os188
OX,oxide
OX-CEL,oxyhydroxide-celadonite
OX-PHYLL,oxyhydroxide-phyllosilicate
P,phosphorus
P(ORG),"phosphorous, organic"
P2O5,phosphorus oxide
Pa,protactinium
Pa231,protactinium isotope pa231
Pa231_ACTIVITY,"protactinium isotope pa231, reported as activity"
Pa231_Th230,ratio of protactinium 231 to thorium 230
Pa231_U235_ACTIVITY,"ratio of protactinium isotope pa231 to uranium isotope u235, reported as activity"
Pa231_XS,excess protactinium 231
PAL,palagonite
PARA,paragonite
PARG,pargasite
Pb,lead
Pb204,lead isotope pb204
Pb204_Pb206,ratio of lead isotopes pb204 to pb206
Pb206,lead isotope 206
Pb206_Pb204,ratio of lead isotopes pb206 to pb204
Pb206_Pb204(I),ratio of lead isotopes pb206 to pb204 at initial age
Pb206_Pb204(T),"ratio of lead isotopes pb206 to pb204, time corrected"
Pb206_Pb207,ratio of lead isotopes pb206 to pb207
Pb206_Pb208,ratio of lead isotopes pb206 to pb208
Pb206_U235,ratio of lead isotope pb206 to uranium isotope u235
Pb206_U238,ratio of lead isotope pb206 to uranium isotope u238
Pb207_Pb204,ratio of lead isotopes pb207 to pb204
Pb207_Pb204(I),initial pb207_pb204 ratio (age-corrected)
Pb207_Pb204(T),"ratio of lead isotopes pb207 to pb204, time corrected"
Pb207_Pb206,ratio of lead isotopes pb207 to pb206
Pb207_Pb206(I),ratio of lead isotopes pb207 to pb206 at initial age
Pb207_U235,ratio of lead isotope pb207 to uranium isotope u235
Pb208_Pb204,ratio of lead isotopes pb208 to pb204
Pb208_Pb204(I),ratio of lead isotopes pb208 to pb204 at initial age
Pb208_Pb204(T),"ratio of lead isotopes pb208 to pb204, time corrected"
Pb208_Pb206,ratio of lead isotopes pb208 to pb206
Pb208_Pb206(I),ratio of lead isotopes pb208 to pb206 at initial age
Pb208_Th232,ratio of lead isotope pb208 to thorium isotope th232
Pb210,lead isotope pb210
Pb210_ACTIVITY,"lead isotope pb210, reported as activity"
Pb210_Ra226,ratio of lead isotope pb210 to radium isotope ra226
Pb210_U238,ratio of lead isotope pb210 to uranium isotope u238
Pb210_XS,excess lead 210
Pd,palladium
PECT,pectolite
PENT,pentlandite
PEROV,perovskite
PGN,pigeonite
pH,pH
PHEN,phengite
PHIL,philippsite
PHLOG,phlogopite
PHYLL,phyllosilicate
PI,physical item
PLAG,plagioclase
PLEO,pleonaste
PL-XC,plagioclase xenocryst
Po210,polonium isotope Po210
Po210_ACTIVITY,"polonium isotope po210, reported as activity"
Po210_Pb210,ratio of polonium isotope 210 to lead isotope 210
PO4,phosphate
Pr,praseodymium
PREH,prehnite
PRESS,pressure
PSB,pseudobrookite
Pt,platinum
Pt190_Os188,ratio of platinum isotope pt190 to osmium isotope os188
PUMP,pumpellyite
PX,pyroxene (not classified)
PY,pyrite
PYPH,pyrophanite
PYR,pyrope
PYRH,pyrrhotite
PYRPH,pyrophyllite
QUARTZ,quartz
QZ,quartz
r2,"the correlation coefficient used to calculate the best-fit line through ambient seawater and the concentration of a given chemical species measured in the samples, plotted against Mg"
Ra,radium
Ra226,radium isotope ra226
Ra226_ACTIVITY,"radium 226, reported as activity"
Ra226_Th230,ratio of radium isotope 226 to thorium isotope 230
Ra226_Th230_ACTIVITY,"ratio of radium isotope 226 to thorium isotope 230, reported as activity"
Rb,rubidium
Rb87_Sr86,ratio of rubidium isotope rb87 to strontium isotope sr86
Re,rhenium
Re187_Os186,ratio of rhenium isotope re187 to osmium isotope os186
Re187_Os188,ratio of rhenium isotope re187 to osmium isotope os188
Rh,rhodium
RHO,rhonite
Ru,ruthenium
RUT,rutile
S,sulfur
S(TOT),total sulfur
S_(SLFI),sulfur present as sulfide
S_PY,sulfur present in pyrite form
SAL,salinity
SAP,saponite
SAP-FE-OX,saponite-iron-oxide
SAP-GA,saponite-glauconite
Sb,antimony
Sc,scandium
Sc2O3,scandium oxide
SCAP,scapolite
Se,selenium
SERP,serpentine
Si,silica
Si(AMORPH),amorphous silica
SID,sideromelane
SIL,silicate
SILM,sillimanite
SiO2,silica oxide
SIOH,"sio2, high pressure"
SLFA,sulfate
SLFI,sulfide
Sm,samarium
Sm147_Nd143,ratio of samarium isotope sm147 to neodymium isotope nd143
Sm147_Nd144,ration of samarium isotope sm147 to neodymium isotope nd144
Sm147_Nd146,ratio of samarium to neodymium isotopes sm147 to nd146
Sm2O3,samarium oxide
SMEC,smectite
SMEC-CEL,smectite-celadonite
Sn,tin
SND,sanidine
SO2,sulfur dioxide
SO3,sulfur trioxide
SO4,sulfate
SODA,sodalite
SP,spinel
SPES,spessartine
SPH,sphene
SPHL,sphalerite
Sr,strontium
Sr_Ca,ratio of sr to ca
Sr84_Sr86,ratio of strontium isotopes sr84 to sr86
Sr84_Sr88,ratio of strontium isotopes sr84 to sr88
Sr86_Sr88,ratio of strontium isotopes sr86 to sr88
Sr87_Sr86,ratio of strontium isotopes sr87 to sr86
Sr87_Sr86(I),ratio of strontium isotopes sr87 to sr86 at initial age
Sr87_Sr86(T),"ratio of strontium isotopes sr87 to sr86, time corrected"
Sr87_Sr88,ratio of strontium isotopes sr87 to sr88
Sr88_Sr86,ratio of strontium isotopes sr88 to sr86
SrO,strontium oxide
SS,sheet silicate
SYMP,symplectite
SYMT,symthite
Ta,tantalum
Ta2O5,tantalum oxide
TACH,tachylite
TALC,talc
Tb,terbium
Te,tellurium
TEMP,temperature
Th,thorium
Th227_ACTIVITY,th227 reported as activity
Th228_Th232,ratio of thorium isotopes th228 to th232
Th230,thorium isotope th230
Th230_ACTIVITY,"thorium isotope th230, reported as activity"
Th230_Th232,ratio of thorium isotopes th230 to th232
Th230_Th232_ACTIVITY,"ratio of thorium isotopes th230 to th232, reported as activity"
Th230_U238,ratio of thorium isotope th230 to uranium isotope u238
Th230_U238_ACTIVITY,"ratio of thorium isotope th230 to uranium isotope u238, reported as activity"
Th230_XS,excess thorium 230
Th232,thorium 232
Th232_ACTIVITY,"thorium isotope th232, reported as activity"
Th232_Pb204,ratio of thorium isotope th232 to lead isotope pb204
Th232_Th230,ratio of isotopes th232 to th230
Th232_Th230 ACTIVITY,ratio of isotopes th232 to th230 measured as activity
Th232_U238,ratio of thorium isotope th232 to uranium isotope u238
Th234,thorium 234
Th234_XS,thorium 234 excess
Th238_Th232_ACTIVITY,"ratio of thorium isotopes th238 to th232, reported as activity"
ThO,thorium oxide
ThO2,thorium oxide
THOM,thomsonite
Ti,titanium
TIC,total inorganic carbon
TI-MT,ti-magnetite
TI-NB,titanoniobate
TiO2,titanium oxide
Tl,thallium
Tl205_Tl203,ratio of thallium isotopes tl205 to tl203
Tm,thulium
TOC,total organic carbon
TREM,tremolite
TREV,trevorite
TRI,tridymite
TRO,troilite
U,uranium
U234,uranium 234
U234_ACTIVITY,"uranium isotope u234, reported as activity"
U234_U238,ratio of uranium isotopes u234 to u238
U234_U238 ACTIVITY,ratio of isotopes u234 to u235 measured as activity
U234_U238 ACTIVITY(T),uranium 234 to uranium 238 measured as activity at time t
U234_U238_ACTIVITY,"ratio of uranium isotopes u234 to u238, reported as activity"
U235_Pb204,ratio of uranium isotope u235 to lead isotope pb204
U235_U234,ratio of isotopes u235 to u234
U238,uranium 238
U238_ACTIVITY,"uranium isotope u238, reported as activity"
U238_Pb204,ratio of uranium isotope u238 to lead isotope pb204
U238_Pb206,ratio of uranium isotope u238 to lead isotope pb206
U238_Th230,ratio of uranium isotope u238 to thorium isotope th230
U238_Th232,ratio of uranium isotope u238 to thorium isotope th232
U238_Th232_ACTIVITY,"ratio of uranium isotope u238 to thorium isotope th232, reported as activity"
UK'37,alkenone uk'37
ULSP,ulvospinel
UO2,uranium oxide
UVR,uvarovite
V,vanadium
V2O3,vanadium sesquioxide
V2O5,vanadium pentoxide
VES,vesicles
VES-F,filled vesicle
W,tungsten
WO,wollastonite
WO3,tungsten trioxide
Xe,xenon
Xe124,xenon isotope xe124
Xe124_Xe130,ratio of xenon isotopes xe124 to xe130
Xe124_Xe132,ratio of xenon isotopes xe124 to xe132
Xe126,xenon isotope xe126
Xe126_Xe130,ratio of xenon isotopes xe126 to xe130
Xe126_Xe132,ratio of xenon isotopes xe126 to xe132
Xe128,xenon isotope xe128
Xe128_Xe130,ratio of xenon isotopes xe128 to xe130
Xe128_Xe132,ratio of xenon isotopes xe128 to xe132
Xe129,xenon isotope xe129
Xe129_Xe130,ratio of xenon isotopes xe129 to xe130
Xe129_Xe132,ratio of xenon isotopes xe129 to xe132
Xe129_Xe136,ratio of xenon isotopes xe129 to xe136
Xe130,xenon isotope xe130
Xe130_Xe132,ratio of xenon isotopes xe130 to xe132
Xe131,xenon isotope xe131
Xe131_Xe130,ratio of xenon isotopes xe131 to xe130
Xe131_Xe132,ratio of xenon isotopes xe131 to xe132
Xe132,xenon isotope xe132
Xe132_Xe130,ratio of xenon isotopes xe132 to xe130
Xe134,xenon isotope xe134
Xe134_Xe130,ratio of xenon isotopes xe134 to xe130
Xe134_Xe132,ratio of xenon isotopes xe134 to xe132
Xe136,xenon isotope xe136
Xe136_He4,ratio of xenon isotope xe136 to helium isotope he4
Xe136_Xe130,ratio of xenon isotopes xe136 to xe130
Xe136_Xe132,ratio of xenon isotopes xe136 to xe132
Y,yttrium
Y2O3,yttrium oxide
Yb,ytterbium
Yb176_Hf177,ratio of ytterbium isotope yb176 to hafnium isotope hf177
YMG,yimengite
ZEOL,zeolite
ZIRC,zircon
Zn,zinc
ZnO,zinc oxide
ZO,zoisite
ZOI,zoisite
Zr,zirconium
Zr2O3,zirconium pentoxide
ZrO2,zirconium oxide
,
TECHNIQUE,Technique description
14C,CARBON 14 AGE DETERMINATION
AA,ACTIVATION ANALYSIS
AAS,ATOMIC ABSORPTION
AGE:ASSIG,Assigned Sample Age
AGE:GEO,Geological Sample Age
ALPHA,ALPHA COUNTING
ALPHA-ID,ALPHA COUNTING ISOTOPE DILUTION
AMS,ACCELERATOR MASS SPECTROMETRY
ANC,ANION CHROMATOGRAPHY
AR_AR,AR40_AR39 AGE DETERMINATION
ARC,ARC SPECTROMETRY
AUT,AUTO ANALYZER
AUTLCH,AUTOMATED LEACHING
BOMB,CARBONATE BOMB
CALC,CALCULATED
CCP,CALCIUM CARBONATE PRESERVATION
CHN,CARBON HYDROGEN NITROGEN ANALYSIS
CHN-G,CHN GAS CHROMATOGRAPHY
CHS,CARBON HYDROGEN SULFUR ELEMENTAL ANALYZER
CMBN,COMBUSTION
CNS,CARBON NITROGEN SULFUR ANALYZER
COL,COLORIMETRIC ANALYSIS
COUL,COULOMETRICAL ANALYSIS
CSA,CARBON SULFUR ANALYSIS
DCP,DIRECT CURRENT PLASMA (FURTHER DETAIL NOT PROVIDED)
DCP-AES,DIRECT CURRENT PLASMA ATOMIC EMISSION SPECTROMETRY
DROES,DIRECT READING OPTICAL EMISSIONS SPECTROSCOPY
EA,ELEMENTAL ANALYSIS
