Vocabularies,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Ce,cerium,,,,,,,,,OES,OPTICAL EMISSION SPECTROMETRY,,,,
,,,,,Ce136_Ce142,ratio of cerium isotopes ce136 to ce142,,,,,,,,,OPS,OPTICAL SPECTROSCOPY,,,,
,,,,,Ce138_Ce142,ratio of cerium isotopes ce138 to ce142,,,,,,,,,PB-PB,PB-PB DATING,,,,
,,,,,Ce140_Nd146,ratio of cerium to neodymium isotopes ce140 to nd146,,,,,,,,,PC,POINT-COUNTING,,,,
,,,,,Ce2O3,cerium oxide,,,,,,,,,PEN,PENFIELD METHOD,,,,
,,,,,CEL,celadonite,,,,,,,,,PGNAA,PROMPT-GAMMA NEUTRON ACTIVATION ANALYSIS,,,,
,,,,,CEL-NON,celadonite-nontronite,,,,,,,,,PMP,PROTON MICROPROBE,,,,
,,,,,CEL-NON-SAP,celadonite-nontranite-saponite,,,,,,,,,POT,POTENTIOMETRY,,,,
,,,,,CELS,celsian,,,,,,,,,PYHY,PYROHYDROLYSIS,,,,
,,,,,CH4,methane,,,,,,,,,RA-TH,RA226_TH230 AGE DETERMINATION,,,,
,,,,,CHL/SMEC,chlorite/smectite,,,,,,,,,RB-SR,RB-SR AGE DETERMINATION,,,,
,,,,,CHLOR,chlorite,,,,,,,,,REF,REFRACTOMETER,,,,
,,,,,CHLORINITY,chlorinity,,,,,,,,,RE-OS,RHENIUM-OSMIUM AGE DETERMINATION,,,,
,,,,,CHLORITE,chlorite,,,,,,,,,REP,ROCK EVAL PYROLYSIS,,,,
,,,,,CHLOR-SAP,chlorite-saponite,,,,,,,,,RNAA,RADIOANALYTICAL NEUTRON ACTIVATION,,,,
,,,,,CHRG_BAL ," electrical charge balance, calculated as the sum of cations vs. anions",,,,,,,,,RR,RAPID ROCK,,,,
,,,,,CHROM,chromite,,,,,,,,,RSA,RADIO-ISOTOPIC SAMPLE AGE,,,,
,,,,,CHRYS,chrysotile,,,,,,,,,SEM,SCANNING ELECTRON MICROSCOPE,,,,
,,,,,Cl,chlorine,,,,,,,,,SEM-EDS,SEM-ENERGY DISPERSIVE XRAYS,,,,
,,,,,CLAY,clay,,,,,,,,,SIMS,SECONDARY ION MASS SPECTROMETRY,,,,
,,,,,CLS,celestine,,,,,,,,,SMA,SOLID'S MOISTURE ANALYSIS,,,,
,,,,,CLY,clay mineral,,,,,,,,,SM-ND,SAMARIUM-NEODYMIUM AGE DETERMINATION,,,,
,,,,,CMG,cummingtonite,,,,,,,,,SPEC,SPECTROGRAPHIC ANALYSIS,,,,
,,,,,Co,cobalt,,,,,,,,,SP-PH,SPECTROPHOTOMETRY,,,,
,,,,,CO1,carbon monoxide,,,,,,,,,SS-ID,SPARK SOURCE MASS SPECTROMETRY - ISOTOPE DILUTION,,,,
,,,,,CO2,carbon dioxide,,,,,,,,,SSMS,SPARK SOURCE MASS SPECTROMETRY,,,,
,,,,,CO2_umol,carbon dioxide measured in micromols,,,,,,,,,TH_PB,THORIUM-LEAD AGE DETERMINATION,,,,
,,,,,CoO,cobalt oxide,,,,,,,,,TIMS,"Thermal  
Ionization Mass Spectrometer",,,,
,,,,,COR,corundum,,,,,,,,,TIMS-ID,THERMAL IONIZATION MASS SPECTROMETRY ISOTOPE DILUTION,,,,
,,,,,CORD,cordierite,,,,,,,,,TITR,TITRATION,,,,
,,,,,CORR,corrensite,,,,,,,,,U_PA,U235_PA231 AGE DETERMINATION,,,,
,,,,,CPX,clinopyroxene,,,,,,,,,U_PB,URANIUM LEAD AGE DETERMINATION,,,,
,,,,,CPY,chalcopyrite,,,,,,,,,U_TH,U238_TH230 AGE DETERMINATION,,,,
,,,,,Cr,chromium,,,,,,,,,U_TH_HE,U-TH-HE AGE DETERMINATION,,,,
,,,,,Cr2O3,chromium oxide,,,,,,,,,UNKNOWN,UNKNOWN,,,,
,,,,,CRICH,crichtonite,,,,,,,,,U-PB,URANIUM-LEAD AGE DETERMINATION,,,,
,,,,,CRIS,cristobalite,,,,,,,,,UV-ES,ULTRAVIOLET EMISSION SPECTROGRAPHY,,,,
,,,,,Cs,cesium,,,,,,,,,VAC-F,VACUUM FUSION,,,,
,,,,,Cs137_ACTIVITY,cesium isotope cs137 reported as activity,,,,,,,,,VOL,VOLUMETRIC ANALYSIS,,,,
,,,,,CSO,"casio3, high pressure",,,,,,,,,WET,WET CHEMISTRY,,,,
,,,,,CST,coesite,,,,,,,,,XANES,X-RAY ABSORPTION NEAR-EDGE STRUCTURE SPECTROSCOPY,,,,
,,,,,CTD,chloritoid,,,,,,,,,XRD,X-RAY DISPERSIVE SPECTROMETRY,,,,
,,,,,CTI,calcium titanium tschermak molecule,,,,,,,,,XRF,X-RAY FLUORESCENCE,,,,
,,,,,Cu,copper,,,,,,,,,XRF-EDS,ENERGY-DISPERSIVE X-RAY FLUORESCENCE,,,,
,,,,,Cu2O,copper(i) oxide,,,,,,,,,XRF-SCAN,X-RAY FLUORESCENCE SCANNING,,,,
,,,,,CUB,cubanite,,,,,,,,,ED-XRF,ENERGY DISPERSIVE XRF,,,,
,,,,,CuO,copper oxide,,,,,,,,,WD-XRF,WAVELENGH DISPERSIVE XRF,,,,
,,,,,DELTA_B11,"equals: (ratio of boron isotopes b11/b10 in the sample divided by ratio of b11/b10 in reference material srm951)  minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_C13,"equals: (ratio of carbon isotopes c13/c12 in the sample divided by ratio of c13/c12 of the pee dee belemnite) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Ca44,"equals :(ratio of 44ca to 40ca sample) divided by (ratio of 44ca std to 40ca std) minus 1,  multplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Cl37,"equals: (ratio of chlorine isotopes cl37/cl35 in the sample divided by ratio of cl37/cl35 of the standard mean ocean chlorine) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_D,"equals: (ratio of hydrogen isotopes h2/h1 in the sample divided by ratio of h2/h1 in reference material ) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Fe56,"equals: (ratio of iron isotopes fe56/fe54 in the sample divided by ratio of fe56/fe54 of irmm-014) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Fe57,"equals: (ratio of iron isotopes fe57/fe54 in the sample divided by ratio of fe57/fe54 of irmm-014) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Li6,"equals: (ratio of lithium isotopes li6/li7 in the sample divided by ratio of li6/li7 of the standard) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Li7,"equals: (ratio of lithium isotopes li7/li6 in the sample divided by ratio of li7/li6 of the standard) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Mg25,"equals: (ratio of magnesium isotopes mg25/mg24 in the sample divided by ratio of mg25/mg24 in the reference material) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Mg26,"equals: (ratio of magnesium isotopes mg26/mg24 in the sample divided by ratio of mg26/mg24 in the reference material) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_N15,"equals: (ratio of nitrogen isotopes n15/n14 in the sample divided by ratio of n15/n14 in the reference material) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_O18,"equals: (ratio of oxygen isotopes o18/o16 in the sample divided by ratio of o18/o16 of the standard) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_S33,"equals: (ratio of sulfur isotopes s33/s32 in the sample divided by ratio of s33/s32 in the reference material) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_S34,"equals: (ratio of sulphur isotopes s34/s32 in the sample divided by ratio of s34/s32 in reference material ) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_S34SO4,"sulfur isotope of  the sulfate.  equals: (ratio of sulphur isotopes s34/s32 in the sample divided by ratio of s34/s32 in reference material ) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_U234,"equals: (ratio of uranium isotopes u234/u238 in the sample divided by ratio of u234/u238 in the secular equilibrium) minus 1, multiplied by 1000",,,,,,,,,,,,,,
,,,,,DELTA_Zn66,"equals :(ratio of 66zn to 64zn sample) divided by (ratio of 66zn std to 64zn std) minus 1, multplied by 1000 ",,,,,,,,,,,,,,
,,,,,DI,diopside,,,,,,,,,,,,,,
,,,,,DIA,diamond,,,,,,,,,,,,,,
,,,,,DIC,dissolved inorganic carbon,,,,,,,,,,,,,,
,,,,,DOL,dolomite,,,,,,,,,,,,,,
,,,,,Dy,dysprosium,,,,,,,,,,,,,,
,,,,,Dy2O3,dysprosium oxide,,,,,,,,,,,,,,
,,,,,E_Cd,epsilon 114/110cadmium,,,,,,,,,,,,,,
,,,,,E_Ce,epsilon ce = [(138ce/142ce)sample/(138ce/142ce)chur - 1]x10e4,,,,,,,,,,,,,,
,,,,,E_Hf,epsilon hf = [(176hf/177hf)sample/(176hf/177hf)chur - 1]x10e4,,,,,,,,,,,,,,
,,,,,E_Hf(T),"epsilon hf = [(176hf/177hf)sample/(176hf/177hf)chur - 1]x10e4, time corrected",,,,,,,,,,,,,,
,,,,,E_Nd,epsilon nd = [(nd143/nd144)sample/(nd143/nd144)reference - 1]x10e4,,,,,,,,,,,,,,
,,,,,E_Nd(JUV),"epsilon nd(juv) = [(nd143/nd144)sample/(nd143/nd144)juv - 1]x10e4, where juv is juvinas achondrite",,,,,,,,,,,,,,
,,,,,E_Nd(T),"epsilon nd = [(nd143/nd144)sample/(nd143/nd144)reference - 1]x10e4, time corrected",,,,,,,,,,,,,,
,,,,,E_Sr,epsilon sr= [(sr87/sr86)sample/(sr87/sr86)reference - 1]x10e4,,,,,,,,,,,,,,
,,,,,E_Sr(T),"epsilon sr= [(sr87/sr86)sample/(sr87/sr86)reference - 1]x10e4, time corrected",,,,,,,,,,,,,,
,,,,,E_Tl205,epsilon thallium isotope 205,,,,,,,,,,,,,,
,,,,,EDE,edenite,,,,,,,,,,,,,,
,,,,,ED-HORN,edenitic hornblende,,,,,,,,,,,,,,
,,,,,EN,enstatite,,,,,,,,,,,,,,
,,,,,EP,epidote,,,,,,,,,,,,,,
,,,,,Er,erbium,,,,,,,,,,,,,,
,,,,,Eu,europium,,,,,,,,,,,,,,
,,,,,F,fluorine,,,,,,,,,,,,,,
,,,,,FA,fayalite,,,,,,,,,,,,,,
,,,,,Fe,iron,,,,,,,,,,,,,,
,,,,,Fe2O3,ferric iron oxide (tri-valent iron),,,,,,,,,,,,,,
,,,,,Fe2O3T,total iron oxide content reported as ferric (tri-valent) iron,,,,,,,,,,,,,,
,,,,,Fe3_SUMFe,ratio of fe3+ to total fe,,,,,,,,,,,,,,
,,,,,Fe3O4,,,,,,,,,,,,,,,
,,,,,Fe3P_FeT,feric iron total iron ratio,,,,,,,,,,,,,,
,,,,,FeCO3,siderite,,,,,,,,,,,,,,
,,,,,Fe-Fe,iron ferrite = fefe2o4,,,,,,,,,,,,,,
,,,,,FeO,ferrous iron oxide (di-valent),,,,,,,,,,,,,,
,,,,,FE-ORE,iron ore,,,,,,,,,,,,,,
,,,,,FeOT,total iron oxide content reported as ferrous (di-valent) iron,,,,,,,,,,,,,,
,,,,,FE-OX,fe-oxide,,,,,,,,,,,,,,
,,,,,FeS2,iron sulfide,,,,,,,,,,,,,,
,,,,,FETI-OX,iron titanium oxide,,,,,,,,,,,,,,
,,,,,FO,forsterite,,,,,,,,,,,,,,
,,,,,FORMATE,formate,,,,,,,,,,,,,,
,,,,,FPER,ferropericlase,,,,,,,,,,,,,,
,,,,,FS,ferrosilite,,,,,,,,,,,,,,
,,,,,FSP,feldspar,,,,,,,,,,,,,,
,,,,,G_Os,gamma osmium,,,,,,,,,,,,,,
,,,,,G_Os(T),"gamma osmium, time corrected",,,,,,,,,,,,,,
,,,,,Ga,gallium,,,,,,,,,,,,,,
,,,,,GAL,galaxite = mnal2o4,,,,,,,,,,,,,,
,,,,,GAR,garnet,,,,,,,,,,,,,,
,,,,,Gd,gadolinium,,,,,,,,,,,,,,
,,,,,Gd2O3,gadolinium oxide,,,,,,,,,,,,,,
,,,,,Ge,germanium,,,,,,,,,,,,,,
,,,,,GKL,geikilite,,,,,,,,,,,,,,
,,,,,GL,glass,,,,,,,,,,,,,,
,,,,,GM,groundmass,,,,,,,,,,,,,,
,,,,,GM-GL,glassy groundmass,,,,,,,,,,,,,,
,,,,,GOLD,gold,,,,,,,,,,,,,,
,,,,,GONN,gonnardite,,,,,,,,,,,,,,
,,,,,GPH,graphite,,,,,,,,,,,,,,
,,,,,GRAPH,graphite,,,,,,,,,,,,,,
,,,,,GROS,grossular,,,,,,,,,,,,,,
,,,,,H,hydrogen,,,,,,,,,,,,,,
,,,,,H(TOT),total hydrogen,,,,,,,,,,,,,,
,,,,,H2,hydrogen,,,,,,,,,,,,,,
,,,,,H2O,water,,,,,,,,,,,,,,
,,,,,H2OM,crystal water (h2o-),,,,,,,,,,,,,,
,,,,,H2OP,crystal water (h2o+),,,,,,,,,,,,,,
,,,,,H2S,hydrogen sulfide,,,,,,,,,,,,,,
,,,,,H2S(TOT),total sulfide,,,,,,,,,,,,,,
,,,,,H4SiO4,silicic acid,,,,,,,,,,,,,,
,,,,,HALITE,halite,,,,,,,,,,,,,,
,,,,,HAUS,hausmannite,,,,,,,,,,,,,,
,,,,,HAUY,hauyne,,,,,,,,,,,,,,
,,,,,HCO3,bicarbonate,,,,,,,,,,,,,,
,,,,,HCY,hercynite,,,,,,,,,,,,,,
,,,,,He,helium,,,,,,,,,,,,,,
,,,,,He3,helium isotope he3,,,,,,,,,,,,,,
,,,,,He3_He4,ratio of helium isotopes he3 to he4,,,,,,,,,,,,,,
,,,,,He3_He4(R/Ra),ratio of helium isotopes he3 to he4 expressed relative to the helium isotope ratio of the atmosphere,,,,,,,,,,,,,,
,,,,,He4,helium isotope he4,,,,,,,,,,,,,,
,,,,,He4(NCC),helium isotope he4 measured by neutron coincidence counting,,,,,,,,,,,,,,
,,,,,He4_Ar40,ratio of helium isotope he4 to argon isotope ar40,,,,,,,,,,,,,,
,,,,,He4_He3,ratio of helium isotopes he4 to he3,,,,,,,,,,,,,,
,,,,,He4_Ne20,ratio of helium isotope he4 to neon isotope ne20,,,,,,,,,,,,,,
,,,,,He4_Ne21,ratio of helium isotope he4 to neon isotope ne21,,,,,,,,,,,,,,
,,,,,HEDN,hedenbergite,,,,,,,,,,,,,,
,,,,,HEM,hematite,,,,,,,,,,,,,,
